,link
30,https://caodang.fpt.edu.vn/tin-tuc-poly/top-3-ca-nhan-hoat-dong-phong-trao-xuat-sac-chinh-phuc-doanh-nghiep-truoc-khi-tot-nghiep.html
31,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/chuyen-tham-quan-bao-tang-my-thuat-tp-hcm-cua-200-sinh-vien-fpt-polytechnic-tp-hcm-co-gi-vui.html
32,https://caodang.fpt.edu.vn/tin-tuc-poly/vong-thi-co-so-fpt-polytechnic-da-nang-cuoc-thi-thiet-ke-va-che-tao-tau-ngam-co-dieu-khien.html
33,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/f-coser-clb-cosplay-dau-tien-tai-fpt-polytechnic-ha-noi.html
34,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/sinh-vien-fpt-polytechnic-da-nang-duoc-thu-bia-ngay-tai-nha-may-bia-heineken-da-nang.html
35,https://caodang.fpt.edu.vn/tin-tuc-poly/co-hoi-thuc-tap-som-danh-cho-sinh-vien-chuyen-nganh-ung-dung-phan-mem-fpt-polytechnic-hcm.html
36,https://caodang.fpt.edu.vn/tin-tuc-poly/25-5-2025-hn-talkshow-ai-xu-huong-ung-dung-phat-trien-website-nen-tang-cong-nghe-so.html
37,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/sinh-vien-fpt-polytechnic-can-tho-tro-tai-thiet-ke-rov-ngay-tu-vong-loai-cuoc-thi-thiet-ke-che-tao-tau-ngam-co-dieu-khien.html
38,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/trai-nghiem-phuc-vu-tiec-teabreak-dung-chuan-voi-sinh-vien-fpt-polytechnic-can-tho.html
39,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/thu-khoa-cntt-fpt-polytechnic-can-tho-7-hoc-ki-lien-tuc-nam-trong-top-ong-vang-2.html
40,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/sinh-vien-fpt-polytechnic-ha-noi-chua-lanh-tam-hon-tai-workshop-nghe-thuat-kham-pha-noi-tam-thong-qua-tranh-ve.html
41,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/sinh-vien-xu-ly-du-lieu-fpt-polytechnic-hcm-duoc-trai-nghiem-gi-trong-chuyen-tham-quan-sendo-viet-nam.html
42,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/bo-tui-quy-tac-phat-am-duoi-s-es-trong-tieng-anh.html
43,https://caodang.fpt.edu.vn/tin-tuc-poly/lua-chon-cao-dang-vi-hoc-nhanh-ra-truong-som-chia-se-cua-top-3-thu-khoa-tot-nghiep-fpt-polytechnic-da-nang.html
44,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/thu-khoa-cntt-fpt-polytechnic-can-tho-7-hoc-ki-lien-tuc-nam-trong-top-ong-vang.html
45,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/24-05-2023-don-cho-chuyen-tham-quan-tiep-theo-trong-chuoi-company-tour-mua-he-cua-chuyen-nganh-digital-marketing-fpt-polytechnic-tp-hcm.html
46,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/sinh-vien-fpt-polytechnic-hcm-hao-huc-tham-gia-dai-hoi-tuyen-dung-vinhomes-2023.html
47,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/bat-mi-loat-bi-kip-de-co-ky-thuc-tap-thanh-cong-cho-sinh-vien-fpt-polytechnic-can-tho.html
48,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/23-5-2023-tp-hcm-workshop-he-mat-lanh.html
49,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/11-thuat-ngu-tieng-anh-thong-dung-trong-linh-vuc-tai-chinh-tien-te.html
50,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/lo-dien-top-8-guong-mat-dai-dien-fpt-polytechnic-hcm-tham-du-vong-chung-ket-cuoc-thi-huong-dan-vien-du-lich-gioi-toan-quoc-2023.html
51,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/bat-mi-3-cach-de-nham-muc-tieu-khach-hang-tiem-nang-khi-chay-facebook-ads.html
52,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/moi-tot-nghiep-cuu-sinh-vien-fpt-polytechnic-hcm-am-ngay-vi-tri-event-planner-operation-tai-hoa-binh-group.html
53,https://caodang.fpt.edu.vn/tin-tuc-poly/buoi-tham-quan-cong-ty-co-phan-bpo-mat-bao-cua-sinh-vien-nganh-quan-tri-kinh-doanh.html
54,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/nghe-ca-cu-voi-poster-typography-cua-sinh-vien-thiet-ke-do-hoa-fpt-polytechnic-ho-chi-minh.html
55,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/nhung-thanh-ngu-tieng-anh-hay-ho-ve-dong-vat-muon-loai.html
56,https://caodang.fpt.edu.vn/tin-tuc-poly/da-mat-chiem-nguong-danh-lam-thang-canh-dat-nuoc-qua-nhung-san-pham-cat-giay-cua-gioi-sinh-vien.html
57,https://caodang.fpt.edu.vn/tin-tuc-poly/danh-trung-nhu-cau-khach-hang-voi-sinh-vien-fpt-polytechnic-ha-noi-qua-seminar-nang-cao-chat-luong-giang-day-mon-hoc-hanh-vi-khach-hang.html
58,https://caodang.fpt.edu.vn/tin-tuc-poly/25-05-2023-tp-hcm-talkshow-phim-dau-tay.html
59,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/nu-sinh-fpt-polytechnic-hcm-xuat-sac-lot-top-vong-chung-ket-toan-quoc-cuoc-thi-vo-dich-thiet-ke-do-hoa-the-gioi-acp-2023.html
60,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/tu-bo-quyet-dinh-hoc-su-pham-nam-sinh-quyet-tam-theo-duoi-dam-me-huong-dan-du-lich-tai-fpoly-hcm.html
61,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/sinh-vien-fpt-polytechnic-tay-nguyen-tham-gia-chay-bo-va-dang-huong-ky-niem-122-nam-ngay-sinh-chu-tich-ho-chi-minh.html
62,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/sinh-vien-fpt-polytechnic-hcm-gianh-huy-chuong-tai-giai-vo-dich-vovinam-viet-vo-dao-tp-hcm-2023.html
63,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/27-05-2023-tp-hcm-talkshow-mang-sieu-xe-vao-game.html
64,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/nu-giang-vien-fpt-polytechnic-tay-nguyen-so-huu-profile-noi-ban-bat-cu-nhan-xuat-sac-cua-rmit-tung-lam-viec-tai-google-viet-nam.html
65,https://caodang.fpt.edu.vn/tin-tuc-poly/lung-linh-san-pham-cat-giay-qua-ban-tay-sinh-vien-tai-hoa.html
66,https://caodang.fpt.edu.vn/tin-tuc-poly/tra-loi-phong-van-the-nao-khi-chua-co-kinh-nghiem.html
67,https://caodang.fpt.edu.vn/tin-tuc-poly/tat-tan-tat-nhung-kinh-nghiem-khi-di-thuc-tap-cho-sinh-vien-fpt-polytechnic.html
68,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/kham-pha-cac-nen-tang-va-cong-cu-phat-trien-game-pho-bien-nhat-hien-nay.html
69,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/sinh-vien-fpt-polytechnic-ha-noi-no-nuc-tham-gia-loat-su-kien-hot-ve-tu-dong-hoa.html
70,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/fpt-polytechnic-tay-nguyen-to-chuc-le-so-ket-hoc-ky-spring-2023.html
71,https://caodang.fpt.edu.vn/tin-tuc-poly/co-hoi-thuc-tap-som-danh-cho-sinh-vien-nganh-cong-nghe-ky-thuat-dieu-khien-tu-dong-hoa.html
72,https://caodang.fpt.edu.vn/tin-tuc-poly/19-5-2023-da-nang-vong-loai-cuoc-thi-thiet-ke-va-che-tao-tau-ngam-co-dieu-khien-fpt-polytechnic-da-nang.html
73,https://caodang.fpt.edu.vn/tin-tuc-poly/blog/quan-tri-nha-hang-khac-gi-quan-tri-khach-san.html
74,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/sinh-vien-fpt-polytechnic-can-tho-tro-tai-to-tuong-trong-ngay-le-tiet-thuc-thang-5.html
75,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/san-truong-fpt-polytechnic-hcm-hoa-buoi-trien-lam-hon-70-tac-pham-nhiep-anh-an-tuong-cua-sinh-vien.html
76,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/sinh-vien-fpt-polytechnic-ha-noi-tham-quan-lg-display-viet-nam-hai-phong.html
77,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/20-5-2023-tp-hcm-chuong-trinh-tham-quan-thuc-te-bao-tang-my-thuat-tp-hcm.html
78,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/phong-qhdn-fpt-polytechnic-ha-noi-tham-gia-ngay-hoi-gan-ket-giao-duc-nghe-nghiep-thu-do-voi-thi-truong-lao-dong-nam-2023.html
79,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/19-5-2023-tp-hcm-chuong-trinh-leadership-the-power-in-you.html
